response_ID,psychom_familiar,psychom_relevant,use_R_install,use_R_gui,use_R_before,use_R_comfortable,use_stat_psychom,use_R_psychom
p01,3,3,Yes,Yes,5,5,"Yes, I did this independently.","Yes, I did this independently."
p02,2,4,Not sure,"Not sure (e.g., What is RStudio?)",1,1,"No, I have not done this before.","No, I have not done this before."
p03,2,4,Yes,No,2,2,"Yes, I did this under the supervision of a mentor or collaborator.","No, I have not done this before."
p04,1,3,No,No,1,3,"No, I have not done this before.","No, I have not done this before."
p05,3,5,No,No,1,1,"Yes, I did this independently.","No, I have not done this before."
p06,1,3,No,"Not sure (e.g., What is RStudio?)",1,1,"No, I have not done this before.","No, I have not done this before."
p07,2,4,Not sure,"Not sure (e.g., What is RStudio?)",1,4,"No, I have not done this before.","No, I have not done this before."
p08,2,5,No,No,1,3,"Yes, I did this under the supervision of a mentor or collaborator.","No, I have not done this before."
p09,2,3,No,No,1,1,"No, I have not done this before.","No, I have not done this before."
p10,3,5,No,No,1,3,"No, I have not done this before.","No, I have not done this before."
p11,2,4,Yes,Yes,3,4,"Yes, I did this under the supervision of a mentor or collaborator.","Yes, I did this under the supervision of a mentor or collaborator."
p12,3,3,No,"Not sure (e.g., What is RStudio?)",2,3,"Yes, I did this under the supervision of a mentor or collaborator.","Yes, I did this under the supervision of a mentor or collaborator."
p13,3,5,No,No,1,1,"No, I have not done this before.","No, I have not done this before."
p14,2,2,Yes,Yes,2,4,"No, I have not done this before.","No, I have not done this before."
p15,2,4,No,"Not sure (e.g., What is RStudio?)",1,4,"Yes, I did this independently.","No, I have not done this before."
p16,3,4,Yes,No,1,1,"No, I have not done this before.","No, I have not done this before."
p17,1,2,Yes,No,2,1,"Yes, I did this under the supervision of a mentor or collaborator.","Yes, I did this under the supervision of a mentor or collaborator."
p18,5,5,Yes,Yes,4,4,"Yes, I did this under the supervision of a mentor or collaborator.","Yes, I did this independently."
p19,4,5,No,No,1,1,"Yes, I did this under the supervision of a mentor or collaborator.","No, I have not done this before."
p20,1,3,No,No,1,1,As part of a class ,"No, I have not done this before."
p21,2,2,No,No,1,1,As part of a class activity (SPSS),"No, I have not done this before."
p22,3,4,No,"Not sure (e.g., What is RStudio?)",1,4,"Yes, I did this independently.","No, I have not done this before."
p23,3,3,Yes,Yes,3,3,"Yes, I did this under the supervision of a mentor or collaborator.","Yes, I did this under the supervision of a mentor or collaborator."
p24,4,3,No,No,1,1,"Yes, I did this under the supervision of a mentor or collaborator.","No, I have not done this before."
p25,5,4,No,No,1,4,"Yes, I did this independently.","No, I have not done this before."
p26,3,2,Not sure,No,1,1,"Yes, I did this under the supervision of a mentor or collaborator.","No, I have not done this before."